Month,Year,Farm Sales,Weather
Jan,2021,30,55
Feb,2021,40,60
Mar,2021,60,65
Apr,2021,70,66
May,2021,120,70
Jun,2021,150,72
Jul,2021,300,75
Aug,2021,300,80
Sep,2021,300,82
Oct,2021,150,70
Nov,2021,120,55
Dec,2021,30,22
Jan,2022,40,40
Feb,2022,60,55
Mar,2022,70,60
Apr,2022,30,65
May,2022,40,66
Jun,2022,60,70
Jul,2022,70,72
Aug,2022,120,75
Sep,2022,150,80
Oct,2022,300,82
Nov,2022,300,70
Dec,2022,300,55
Jan,2022,150,22
Feb,2022,120,40
Mar,2022,30,55
Apr,2022,40,60
May,2022,60,65
Jun,2022,70,66
Jul,2022,30,70
Aug,2022,40,72
Sep,2022,60,75
Oct,2022,70,80
Nov,2022,120,82
Dec,2022,150,70
Jan,2023,300,55
Feb,2023,300,22
Mar,2023,300,40
Apr,2023,150,55
May,2023,120,60
Jun,2023,30,65
Jul,2023,40,66
Aug,2023,60,70
Sep,2023,70,72
Oct,2023,30,75
Nov,2023,40,80
Dec,2023,60,82
Jan,2024,70,70
Feb,2024,120,55
Mar,2024,150,22
Apr,2024,300,40
May,2024,300,55
Jun,2024,300,60
Jul,2024,150,65
Aug,2024,120,66
Sep,2024,30,70
Oct,2024,40,72
Nov,2024,60,75
Dec,2024,70,80
Jan,2024,30,82
Feb,2024,40,70
Mar,2024,60,55
Apr,2024,70,22
May,2024,120,40
Jun,2024,150,55
Jul,2024,300,60
Aug,2024,300,65
Sep,2024,300,66
Oct,2024,150,70
Nov,2024,120,72
Dec,2024,30,75
